Strain,B1_req,B2_req,B3_req,B5_req,B6_req,B9_req,B12_req,Kx_req,B1_syn,B2_syn,B3_syn,B5_syn,B6_syn,B9_syn,B12_syn,Kx_syn,Cluster
Olsenella_profusa_F019501,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,B6++
Olsenella_uli_DSM_7084,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,B6++
Oribacterium_sinus_F0268,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Oxalobacter_formigenes_HOxBLS,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,B6
Oxalobacter_formigenes_OXCC13,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,B6
Paenibacillus_alvei_DSM_29,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Paenibacillus_barengoltzii_G22,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Paenibacillus_daejeonensis_DSM_15491,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Paenibacillus_graminis_C4D1M,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,None
Paenibacillus_lactis_154,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Pantoea_agglomerans_IG1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Parabacteroides_distasonis_ATCC_8503,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Parabacteroides_goldsteinii_dnLKV18,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Parabacteroides_gordonii_DSM_23371,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,B6++
Parabacteroides_johnsonii_DSM_18315,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,()
Parabacteroides_merdae_ATCC_43184,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Parabacteroides_sp_D13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Paracoccus_yeei_ATCC_BAA_599,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,None
Paraprevotella_clara_YIT_11840,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Paraprevotella_xylaniphila_YIT_11841,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Parasutterella_excrementihominis_YIT_11859,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,B6++
Parvimonas_micra_ATCC_33270,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,None
Pediococcus_acidilactici_7_4,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,B6+
Pediococcus_acidilactici_DSM_20284,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,B6+
Pediococcus_pentosaceus_ATCC_25745,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,None
Peptoniphilus_harei_ACS_146_V_Sch2b,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,B6++
Peptoniphilus_indolicus_ATCC_29427,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Peptoniphilus_lacrimalis_DSM_7455,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,B6++
Peptoniphilus_timonensis_JC401,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Peptostreptococcus_anaerobius_DSM_2949,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Peptostreptococcus_stomatis_DSM_17678,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Phascolarctobacterium_succinatutens_YIT_12067,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,B3+
Plesiomonas_shigelloides_302_73,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Porphyromonas_asaccharolytica_DSM_20707,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Porphyromonas_endodontalis_ATCC_35406,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,B5++
Porphyromonas_gingivalis_W83,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Porphyromonas_somerae_DSM_23386,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,B5++
Porphyromonas_uenonis_60_3,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Porphyromonas_uenonis_DSM_23387,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Prevotella_albensis_DSM_11370,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Prevotella_bivia_DSM_20514,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,B5++
Prevotella_brevis_ATCC_19188,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Prevotella_bryantii_B14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Prevotella_bryantii_C21a,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Prevotella_buccae_ATCC_33574,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Prevotella_conceptionensis_9403948,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Prevotella_copri_CB7_DSM_18205,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
